#	Seq. W	Seq. R	Rand. W	Rand. R	Insert	Update	Delete
Ext4	0.184	4.451	45	927	19	110	100.7
MobiFS	135.7	164.2	21577.6	44888.6	97.2	2311.4	1316.4
