FB	0.276139	0.544553	1.069565	1.938088	0.529412	2.402140
AB	0.287749	0.321485	1.756098	2.037205	0.722222	2.057522
NF	0.256410	0.513782	1.722222	6.649242	0.000000	2.213504
TT	0.263736	1.132422	0.938202	2.897803	0.888889	2.499956
GM	0.273486	0.603101	0.900312	1.506206	1.125000	2.380849
FL	0.204188	2.029545	0.769231	5.309531	0.500000	1.982067
WB	0.278571	0.671480	1.130952	2.645008	0.466667	2.291508
CR	0.217391	1.818894	0.806452	4.154270	0.000000	3.000000
WC	0.287037	0.233238	1.534954	1.200869	0.648649	2.673353
All	0.260523	0.874278	1.180888	3.148691	0.542315	2.388989
